Epoch: 1466             Train loss : 1.43               Valid loss : 2.00           Train acc : 0.73                Valid acc : 0.42
Epoch: 1467             Train loss : 0.91               Valid loss : 1.72           Train acc : 0.86                Valid acc : 0.51
Epoch: 1468             Train loss : 0.56               Valid loss : 1.76           Train acc : 0.87                Valid acc : 0.52
Epoch: 1469             Train loss : 0.46               Valid loss : 1.92           Train acc : 0.83                Valid acc : 0.49
Epoch: 1470             Train loss : 0.54               Valid loss : 2.06           Train acc : 0.83                Valid acc : 0.49
Epoch: 1471             Train loss : 0.53               Valid loss : 2.01           Train acc : 0.85                Valid acc : 0.50
Epoch: 1472             Train loss : 0.48               Valid loss : 1.73           Train acc : 0.93                Valid acc : 0.53
Epoch: 1473             Train loss : 0.29               Valid loss : 1.58           Train acc : 0.96                Valid acc : 0.58
Epoch: 1474             Train loss : 0.19               Valid loss : 1.56           Train acc : 0.97                Valid acc : 0.58
Epoch: 1475             Train loss : 0.16               Valid loss : 1.58           Train acc : 0.97                Valid acc : 0.59
Epoch: 1476             Train loss : 0.15               Valid loss : 1.57           Train acc : 0.97                Valid acc : 0.59
Epoch: 1477             Train loss : 0.14               Valid loss : 1.56           Train acc : 0.98                Valid acc : 0.59
Epoch: 1478             Train loss : 0.13               Valid loss : 1.60           Train acc : 0.98                Valid acc : 0.59
Epoch: 1479             Train loss : 0.13               Valid loss : 1.60           Train acc : 0.98                Valid acc : 0.59
Epoch: 1480             Train loss : 0.12               Valid loss : 1.63           Train acc : 0.98                Valid acc : 0.59
Epoch: 1481             Train loss : 0.12               Valid loss : 1.64           Train acc : 0.98                Valid acc : 0.60
Epoch: 1482             Train loss : 0.11               Valid loss : 1.63           Train acc : 0.98                Valid acc : 0.59
Epoch: 1483             Train loss : 0.11               Valid loss : 1.62           Train acc : 0.98                Valid acc : 0.59
Epoch: 1484             Train loss : 0.11               Valid loss : 1.64           Train acc : 0.98                Valid acc : 0.59
Epoch: 1485             Train loss : 0.11               Valid loss : 1.67           Train acc : 0.98                Valid acc : 0.58
Epoch: 1486             Train loss : 0.10               Valid loss : 1.63           Train acc : 0.98                Valid acc : 0.59
Epoch: 1487             Train loss : 0.10               Valid loss : 1.65           Train acc : 0.98                Valid acc : 0.58
Epoch: 1488             Train loss : 0.10               Valid loss : 1.69           Train acc : 0.98                Valid acc : 0.59
Epoch: 1489             Train loss : 0.09               Valid loss : 1.67           Train acc : 0.98                Valid acc : 0.59
Epoch: 1490             Train loss : 0.09               Valid loss : 1.67           Train acc : 0.98                Valid acc : 0.60
Epoch: 1491             Train loss : 0.09               Valid loss : 1.69           Train acc : 0.98                Valid acc : 0.59
Epoch: 1492             Train loss : 0.09               Valid loss : 1.69           Train acc : 0.98                Valid acc : 0.59
Epoch: 1493             Train loss : 0.09               Valid loss : 1.70           Train acc : 0.98                Valid acc : 0.60
Epoch: 1494             Train loss : 0.09               Valid loss : 1.72           Train acc : 0.98                Valid acc : 0.59
Epoch: 1495             Train loss : 0.09               Valid loss : 1.69           Train acc : 0.98                Valid acc : 0.59
Epoch: 1496             Train loss : 0.09               Valid loss : 1.75           Train acc : 0.99                Valid acc : 0.60
Epoch: 1497             Train loss : 0.08               Valid loss : 1.71           Train acc : 0.98                Valid acc : 0.59
Epoch: 1498             Train loss : 0.09               Valid loss : 1.75           Train acc : 0.98                Valid acc : 0.59
Epoch: 1499             Train loss : 0.08               Valid loss : 1.77           Train acc : 0.98                Valid acc : 0.60
Epoch: 1500             Train loss : 0.09               Valid loss : 1.76           Train acc : 0.98                Valid acc : 0.59
-> ptorch model is saved.
Test acc: 0.61
ubuntu@ip-172-31-77-43:~/genre-classifier/src$
